Designator,Mid X,Mid Y,Layer,Rotation
C145,86.825mm,42.625mm,Top,270.0
C146,88.025mm,42.625mm,Top,270.0
C112,73.3372mm,52.0103mm,Bottom,0.0
C111,63.025mm,51.525mm,Bottom,180.0
C123,88.625mm,70.15mm,Bottom,0.0
C117,88.625mm,71.41749999999999mm,Bottom,0.0
C105,66.825mm,63.925mm,Bottom,0.0
C100,64.2525mm,63.925mm,Bottom,180.0
C229,84.425mm,41.719899999999996mm,Bottom,90.0
C224,62.574999999999996mm,40.324999999999996mm,Top,90.0
C223,62.574999999999996mm,44.574999999999996mm,Top,90.0
C222,62.625mm,41.625mm,Bottom,270.0
C221,82.8477mm,44.3978mm,Top,270.0
C220,82.74029999999999mm,44.425mm,Bottom,270.0
C225,78.2251mm,43.474999999999994mm,Bottom,270.0
C226,79.325mm,43.474999999999994mm,Bottom,270.0
C227,81.4751mm,43.474999999999994mm,Bottom,270.0
C228,82.5403mm,40.719899999999996mm,Bottom,90.0
C212,73.4251mm,43.474999999999994mm,Bottom,270.0
C213,74.525mm,43.474999999999994mm,Bottom,270.0
C214,76.6751mm,43.474999999999994mm,Bottom,270.0
C215,77.71940000000001mm,40.719899999999996mm,Bottom,90.0
C200,63.8251mm,43.474999999999994mm,Bottom,270.0
C201,64.925mm,43.474999999999994mm,Bottom,270.0
C202,67.07509999999999mm,43.474999999999994mm,Bottom,270.0
C203,68.1155mm,40.719899999999996mm,Bottom,90.0
C195,75.6751mm,48.925mm,Bottom,270.0
C190,89.775mm,48.775mm,Bottom,270.0
C185,68.575mm,48.925mm,Bottom,270.0
C180,82.775mm,48.925mm,Bottom,270.0
C142,88.025mm,39.724999999999994mm,Bottom,270.0
C141,86.825mm,39.724999999999994mm,Bottom,270.0
C139,85.6251mm,39.724999999999994mm,Bottom,90.0
C135,84.425mm,39.724999999999994mm,Bottom,270.0
C211,72.9331mm,40.719899999999996mm,Bottom,90.0
C210,71.8751mm,43.474999999999994mm,Bottom,270.0
C209,69.725mm,43.474999999999994mm,Bottom,270.0
C208,68.6251mm,43.474999999999994mm,Bottom,270.0
C147,79.375mm,57.1337mm,Bottom,180.0
F101,64.325mm,70.3222mm,Bottom,90.0
R134,73.575mm,69.82499999999999mm,Bottom,0.0
R133,73.575mm,71.0mm,Bottom,0.0
C133,73.725mm,67.715mm,Bottom,90.0
R131,80.521mm,53.068799999999996mm,Bottom,180.0
R130,73.82509999999999mm,58.25mm,Bottom,90.0
R129,73.82509999999999mm,54.375mm,Bottom,90.0
Y101,76.1124mm,66.1424mm,Bottom,0.0
